DATE,TIME1,OPEN1,HIGH1,LOW1,CLOSE1,VOL1,TIME2,OPEN2,HIGH2,LOW2,CLOSE2,VOL2,TIME3,OPEN3,HIGH3,LOW3,CLOSE3,VOL3,TIME4,OPEN4,HIGH4,LOW4,CLOSE4,VOL4,TIME5,OPEN5,HIGH5,LOW5,CLOSE5,VOL5,TIME6,OPEN6,HIGH6,LOW6,CLOSE6,VOL6,TIME7,OPEN7,HIGH7,LOW7,CLOSE7,VOL7,TIME8,OPEN8,HIGH8,LOW8,CLOSE8,VOL8,TIME9,OPEN9,HIGH9,LOW9,CLOSE9,VOL9
20120301,110000,75.3800000,75.4500000,74.9100000,74.9500000,2334800,120000,74.9500000,75.2100000,74.8300000,74.9000000,1617800,130000,74.9200000,75.2900000,74.7700000,75.1800000,1634100,140000,75.2200000,75.4800000,75.1200000,75.3500000,703300,150000,75.3500000,75.3500000,75.1700000,75.2200000,385700,160000,75.2300000,75.4400000,75.1700000,75.3500000,488000,170000,75.3600000,75.4500000,75.0900000,75.1900000,1137900,180000,75.2000000,75.3000000,75.1200000,75.1600000,754600,190000,75.1400000,75.6100000,75.1200000,75.5800000,2269200
20120302,110000,76.0100000,76.3500000,75.7900000,76.1300000,3527600,120000,76.1400000,76.3000000,75.9500000,76.2200000,2527000,130000,76.2200000,76.4100000,76.0400000,76.1300000,2277700,140000,76.1200000,76.2100000,76.0500000,76.1500000,821600,150000,76.1600000,76.2400000,76.0500000,76.1000000,1197600,160000,76.1000000,76.2100000,76.0000000,76.2000000,1182900,170000,76.1400000,76.2000000,75.6500000,76.1500000,4247300,180000,76.0600000,76.7200000,76.0300000,76.7200000,4305900,190000,76.7200000,77.4800000,76.6800000,77.0900000,6021500
20120305,110000,77.0900000,78.5900000,77.0900000,78.3900000,5464300,120000,78.3800000,78.4000000,77.4900000,78.0000000,3856900,130000,77.9900000,78.0600000,77.3400000,77.5000000,1644300,140000,77.5200000,77.8000000,77.3300000,77.7000000,774700,150000,77.7000000,77.9500000,77.5300000,77.5800000,518800,160000,77.5800000,77.7900000,77.3400000,77.5400000,1028400,170000,77.5000000,77.7500000,77.4200000,77.7300000,287600,180000,77.7200000,78.1100000,77.7200000,78.1000000,1385100,190000,78.1000000,78.1100000,77.5300000,77.5900000,2659900
20120306,110000,77.1500000,77.2000000,76.7100000,77.0300000,2307800,120000,77.0300000,77.1100000,76.7000000,76.7200000,1415800,130000,76.7100000,76.9800000,76.4000000,76.4100000,5280800,140000,76.4100000,76.5800000,75.9200000,76.2100000,2576700,150000,76.2100000,76.2100000,75.7200000,75.7500000,1760400,160000,75.7400000,76.0000000,75.3800000,75.4000000,2855800,170000,75.4100000,75.9000000,75.3400000,75.7100000,2142600,180000,75.7100000,75.8300000,75.0300000,75.0700000,1457600,190000,75.0700000,75.1100000,73.8000000,73.8100000,5285200
20120307,110000,74.0000000,74.2000000,73.2300000,73.8600000,3703100,120000,73.8600000,74.3700000,73.8600000,74.1500000,1540400,130000,74.1100000,74.5700000,73.2600000,73.5400000,3419500,140000,73.5300000,74.0000000,73.2600000,73.6500000,1119800,150000,73.6400000,74.1600000,73.5400000,73.9000000,1152100,160000,73.9400000,73.9400000,73.5400000,73.7100000,996900,170000,73.7100000,74.1200000,73.6900000,73.9400000,867300,180000,73.9100000,74.5600000,73.9000000,74.4000000,2827700,190000,74.4000000,74.7800000,74.2100000,74.5300000,5004100
20120311,110000,76.0000000,76.1900000,75.8100000,75.9300000,3123500,120000,75.8900000,76.0400000,75.8800000,75.9300000,528000,130000,75.9300000,75.9400000,75.8900000,75.9400000,371300,140000,75.9400000,75.9400000,75.9000000,75.9200000,180500,150000,75.9200000,75.9400000,75.8000000,75.8500000,341400,160000,75.8500000,75.9400000,75.8200000,75.9400000,928200,170000,75.9200000,75.9400000,75.8700000,75.9000000,185300,180000,75.9000000,75.9400000,75.9000000,75.9400000,318400,190000,75.9400000,76.2500000,75.9200000,76.1300000,2409400
20120312,110000,75.7800000,75.7900000,75.3000000,75.7800000,2782200,120000,75.7900000,76.0500000,75.6800000,76.0100000,1229800,130000,76.0100000,77.2500000,76.0100000,77.2400000,6197200,140000,77.2400000,77.3800000,77.1100000,77.1500000,4555300,150000,77.1500000,77.2100000,76.7000000,76.8000000,2668400,160000,76.8200000,77.0500000,76.6000000,76.8200000,884400,170000,76.8000000,77.1800000,76.5600000,77.1800000,2810800,180000,77.1800000,77.1900000,76.9100000,77.0000000,1332100,190000,76.9900000,77.1000000,76.9000000,77.0800000,1374200
20120313,110000,77.3900000,77.9200000,77.3300000,77.6100000,1430000,120000,77.6200000,77.8800000,77.5500000,77.7500000,2375600,130000,77.7400000,77.8500000,77.5700000,77.7900000,773900,140000,77.7900000,78.0300000,77.7700000,78.0000000,2041800,150000,78.0100000,78.0300000,77.8800000,78.0300000,919000,160000,78.0300000,78.3700000,77.8100000,78.0500000,2678000,170000,78.0800000,78.5000000,78.0000000,78.1700000,2178600,180000,78.1800000,78.8400000,78.1500000,78.7700000,3240000,190000,78.7700000,79.4500000,78.7200000,79.2200000,5444000
20120314,110000,80.0500000,80.6000000,80.0000000,80.2500000,5095200,120000,80.2500000,80.3000000,79.9000000,80.0600000,2981300,130000,80.0600000,80.7000000,80.0300000,80.7000000,3714800,140000,80.7000000,82.1800000,80.6900000,81.8200000,9075700,150000,81.8500000,83.4300000,81.6000000,82.9900000,16604600,160000,82.9500000,83.8300000,82.8500000,83.3000000,8487100,170000,83.3000000,83.4600000,82.5000000,82.6200000,8546400,180000,82.6200000,83.1900000,82.6000000,83.0900000,3638200,190000,83.0900000,83.6000000,83.0100000,83.2400000,8129900
20120315,110000,83.3700000,83.3800000,81.9200000,82.4000000,6368600,120000,82.4000000,82.5600000,81.9300000,82.1900000,3658200,130000,82.1900000,82.2000000,80.7300000,81.0600000,11492200,140000,81.0600000,81.9800000,80.8500000,80.8700000,6161500,150000,80.8700000,81.2000000,80.8100000,81.0200000,2552200,160000,81.0200000,81.4200000,80.8500000,81.3600000,4883300,170000,81.3500000,81.8000000,80.9800000,81.7400000,3791100,180000,81.7000000,81.9000000,80.1100000,80.7200000,9559500,190000,80.7500000,81.0800000,80.5000000,80.9900000,3224700
